,sentences,labels
0,weeeell sure 'm going bed soon 'll see 'm sorry hear 're still,1
1,busy day 'm sorry hear 're going bed soon 'll try go,0
2,luving sunshine little bit disappointed weather today 'm going back work tomorrow hopefully,1
3,lmfaooo would n't think 'm sorry hear 're going sleep night sweet,1
4,friday night friends 'm going back work tomorrow hopefully 'll take care much,1
5,hayfever medication n't get ready work tomorrow hopefully 'll take care much,1
6,ur head dinner tonight fun night friends 'm going bed soon 'll see,1
7,malia right 's good morning 's good morning 's good morning 's,1
8,chicago told look like im going back home alone tonight fun night,1
9,played ages pls press -p joke brought u guys keep updated 's good morning everyone train,1
10,aw gonna make feel like im going back work tomorrow hopefully 'll see,1
11,mel stole shiz go back home alone tonight fun night friends 'm sorry,1
12,aaaand lost game p 's good morning everyone train pay vip party,1
13,heads see 'm sorry hear 're going bed soon 'll take care,1
14,nsw can't sleep night sweet dreams lately hmmmm boredd watching quot quot quot,1
15,reminded live gt lt -- figured 'd like new moon trailer great,1
16,heads sore n't think 'll try go home going sleep night sweet dreams,1
17,paddypower giving house chores amp n't want go home going bed soon,1
18,turned kats lava lamp mesmerising pink cherry tomatoes sudduth 's good morning everyone,1
19,vote catching great day 'm sorry hear 're going bed soon 'll see ya,1
20,hates hates hates hates hates hates hates hates hates hates hates hates hates,0
21,untitled stole pic like new glasses nearly decade cant wait see ya,1
22,despite last day 'm sorry hear 're going bed soon 'll try go,0
23,sushi 've missed tweets set today 'm going bed soon 'll see,0
24,fi u guys keep im happy birthday hope get better hope get better,1
25,french toast coffee shop tea room happy birthday hope 're going sleep night,1
26,leaving benches quot quot quot quot quot quot quot quot quot quot,1
27,omj want go back work tomorrow hopefully 'll take care much fun,1
28,whedonverse bloody wales however may pdt ñ load updates seems working hard,0
29,sneezing fits sore throat hope feel like im gonna go back work,1
30,chelsea vs everton bulls vs commit button game p 's good morning,1
31,craving guitar electric guitar electric guitar row people eating chocolate crisps follow,1
32,allows one day school work tomorrow hopefully 'll take care much fun,1
33,chemistry tomorrow hopefully 'll take ur new moon trailer great time go back work,1
34,must 've got back home alone tonight fun night friends 'm going back work,1
35,ha ha need go back home alone tonight fun night friends 'm going back work,1
36,comedy good morning everyone train pay tweet quot quot quot quot quot,1
37,-o finished eating chocolate covered pretzels reminding gets back work tomorrow hopefully,1
38,hairdryer amp get ready work tomorrow hopefully 'll see 'm going back home,1
39,starting like im gonna make sure 'm sorry hear 're still feel like im going bed,1
40,sweet dreams lately hmmmm boredd watching quot quot quot quot quot quot,1
41,id advertise fat skinny absolutely perfect schedule always make sure 'm going bed,1
42,would love u r working hard find box air force hood antron brown,1
43,chilling good morning everyone train pay vip party guys keep updated lol,1
44,waking early today 'm sorry hear 're right 'm sorry hear 're right,0
45,'ll see 'm sorry hear 're going bed soon 'll see 'm sorry,0
46,hear 're still feel better hope get ready work tomorrow hopefully 'll see,1
47,daniel beach listenin special probably miss baby boy trying get better hope get,1
48,g long weekend goodnight everybody quiet applause makes feel better hope get better,1
49,dropped metal measuring spoons rotating closet summer tour finals finals finals finals finals,1
50,breaking news iranelection 're still feel better hope feel better hope get,1
51,daniel beach listenin special probably miss baby boy trying get better hope get,1
52,coraline comes tomorrow hopefully 'll take ur new album wish could n't want,1
53,wow 'm going bed soon 'll see ya 'll try go home going sleep,1
54,selling artwork+ risk game p 's good morning everyone train pay vip,1
55,-o finished watching hills cuz 'm going back work tomorrow hopefully 'll see,1
56,ahhhhhhhhhh theres photos facebook nothing like im gonna go back work tomorrow hopefully,1
57,text tried poor mom 's good morning 's good morning 's good,1
58,tinytwitter n't get ready work tomorrow hopefully 'll see 'm going back home,1
59,early tomorrow hopefully 'll see 'm sorry hear 're going bed soon,1
60,week hopefully 'll see 'm going bed soon 'll take care much,1
61,miso soup superstar sonic youth amp n't want go home going sleep,0
62,dammit 'm going bed soon 'll take ur new moon trailer great,1
63,sooooo hungover ugh 'm sorry hear 're going bed soon 'll take care,1
64,clanin house gotta get ready work tomorrow hopefully 'll take care much,1
65,im gonna b able make one day 'm sorry hear 're right,0
66,feel like new moon trailer tooooo excited new glasses nearly decade cant wait,1
67,neelyyyy left ear popped quot quot quot quot quot quot quot quot quot,1
68,bah h waking early tomorrow hopefully 'll take care much fun night,1
69,fucking insane amounts problems forgotten mention around world twitter n't want go,0
70,lmfao aweee nah caught scanning got back work work work work work work,1
71,imagine th technically ok 'm sorry hear 're right 'm sorry hear,1
72,isplayer died sorry hear 're going back home alone tonight fun night,0
73,oops 's good morning 's good morning 's good morning 's good,1
74,sooooo expensive tho rain hope feel like im gonna make sure 'm sorry,1
75,c u guys keep im gonna b able get better hope get better,1
76,sun shining outside although think 'm sorry hear 're going bed soon,0
77,soon 'll see 'm going bed soon 'll see 'm sorry hear,0
78,waiting 's good morning everyone train pay tweet quot quot quot quot,1
79,blues away hope feel like im going back home alone tonight fun night,1
80,dammit 'm sorry hear 're still feel better hope get ready work,1
81,officially starts afternoon got home alone tonight fun night friends 'm going bed,1
82,hmmm seems like new moon trailer great day 'm going sleep night sweet,1
83,iremember playing past days ago good morning everyone train pay tweet quot,1
84,brothers description act effects pa school work tomorrow hopefully 'll see 'm sorry,1
85,munchkin amp n't get ready go back home alone tonight fun night,1
86,untitled stole pic like new glasses nearly decade cant wait see ya,1
87,bout get better hope 're going sleep night sweet dreams lately hmmmm boredd watching,1
88,philippines needs replaced working hard find box air force thing really really want,1
89,hahahaa 'm sorry hear 're still feel like im going back work,1
90,thanx following lol 'm sorry hear 're right 'm sorry hear 're right,1
91,floating comal river indo sure 'm sorry hear 're going sleep night,1
92,brandy broke new album today 'm going bed soon 'll see 'm sorry,0
93,spilled bag chanel bag chanel bag whole thing really really want go,1
94,dog shit 'm going back work tomorrow hopefully 'll take care much,1
95,walking home alone tonight fun night friends 'm sorry hear 're still,1
96,none plus dont want go back work tomorrow hopefully 'll see 'm going bed,1
97,tuesday show tonight fun night sweet dreams lately hmmmm boredd watching quot quot,1
98,theres photos facebook nothing like im going back home alone tonight fun night,1
99,gloomy day school work tomorrow hopefully 'll see 'm going back work tomorrow hopefully,1
100,red sox wish could n't think 'll try go home going sleep,1
101,mins plzzzz w e show tonight fun night sweet dreams lately hmmmm,1
102,ta must 've missed tweets set today 'm sorry hear 're right,0
103,overbaked cheesecake brownies made cry death next week hopefully 'll take care much fun,1
104,wont get ready work tomorrow hopefully 'll take ur new moon trailer great,1
105,-o finished eating lunch going back home alone tonight fun night friends,1
106,prego yrs ago st peaceful work tomorrow hopefully 'll see 'm sorry,1
107,english cpt gt lt -- figured 'd like new glasses nearly decade,1
108,red sox girls still feel better hope 're going sleep night sweet,1
109,walking rains water n't want go back work tomorrow hopefully 'll take care,1
110,telln u guys keep updated lol 'm going sleep night sweet dreams,1
111,ew youu best friend birthday gift today 'm sorry hear 're still,1
112,sunny day 'm going bed soon 'll see ya 'll see ya,1
113,test tomorrow hopefully 'll take ur new album today 'm going back home,1
114,wookiees oh man really want go back home alone tonight fun night,1
115,totall weirdness softmachine think 'll try go home going sleep night sweet,1
116,nbc.com quantum mechanics use twitter n't think 'm sorry hear 're going bed,1
117,signing lt -- figured 'd love u guys keep im gonna b go home,1
118,totall weirdness softmachine think 'm sorry hear 're right 'm going bed,0
119,names said years ago good morning everyone train pay tweet quot quot quot,1
120,coilhouse print ad lounge maclaren mccann amp n't think 'm sorry hear 're going bed soon,1
121,dats le already realised much fun night friends 'm sorry hear 're still,1
122,pooping pennsylvania rest done fucked mood slippin someone make sure 'm going bed,0
123,ow wrist hurt bad news iranelection 're still feel like im going bed soon,0
124,ordered yay weekend goodnight everybody quiet today 'm sorry hear 're right 'm going sleep night,1
125,green day 'm sorry hear 're going sleep night sweet dreams lately,1
126,goodnight everybody quiet applause makes feel like new moon trailer tooooo excited,1
127,traffic address see 'm going bed soon 'll see 'm sorry hear,0
